hhmemberid,seq_num,income,cfps2016eduy_im,age,gender,urban16,provcd16,ethnic,married,party,employ,postsecondary,seniorsecondary,juniorsecondary,primary,illiterate,lninc,exper,exper2,area
101129501,101129,2500,9,26,0,0,13,0,1,0,1,0,0,0,1,0,7.8240461,11,121,1
109606501,109606,10000,15,28,1,0,41,0,1,1,1,1,0,0,0,0,9.2103405,7,49,2
110003103,110003,38000,15,19,0,1,11,0,0,0,1,0,0,1,0,0,10.545341,-2,4,1
110009107,110009,90000,16,28,1,1,11,0,0,0,1,1,0,0,0,0,11.407565,6,36,1
110011101,110011,0,6,43,0,1,11,0,1,0,1,0,0,0,1,0,,31,961,1
110020105,110020,16200,15,46,0,1,11,0,1,0,1,1,0,0,0,0,9.6927662,25,625,1
110026102,110026,120000,16,43,1,1,11,0,1,0,1,1,0,0,0,0,11.695247,21,441,1
110031103,110031,42000,15,24,1,1,11,0,0,0,1,0,1,0,0,0,10.645425,3,9,1
110033105,110033,0,16,22,1,1,11,0,0,0,1,1,0,0,0,0,,0,0,1
110043103,110043,0,12,31,1,1,11,0,1,0,1,0,1,0,0,0,,13,169,1
110047102,110047,0,12,39,0,1,11,0,1,0,1,0,1,0,0,0,,21,441,1
110050103,110050,42000,12,36,1,1,11,0,1,0,1,0,1,0,0,0,10.645425,18,324,1
110052431,110052,28000,15,28,0,1,11,0,1,0,1,1,0,0,0,0,10.23996,7,49,1
110062101,110062,24000,9,58,0,1,11,0,1,0,1,0,0,1,0,0,10.085809,43,1849,1
110065102,110065,0,,32,1,1,11,0,0,0,1,0,0,1,0,0,,,,1
110076101,110076,11000,15,56,0,1,11,0,0,0,1,1,0,0,0,0,9.3056507,35,1225,1
110108104,110108,19000,12,32,0,1,11,0,1,0,1,0,1,0,0,0,9.8521938,14,196,1
110124102,110124,94000,16,33,0,1,11,0,1,0,1,1,0,0,0,0,11.45105,11,121,1
110157102,110157,100000,,46,1,1,11,0,1,0,1,1,0,0,0,0,11.512925,,,1
110160103,110160,300000,16,31,1,1,11,0,1,0,1,1,0,0,0,0,12.611538,9,81,1
110493501,110493,30000,16,24,0,1,13,0,0,0,1,1,0,0,0,0,10.308952,2,4,1
